team_name,logo,squad_link
Manchester City,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.b8fd03ef.png,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
Arsenal,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.18bb7c10.png,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
Liverpool,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.822bd0ba.png,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
Aston Villa,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.8602292d.png,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
Tottenham,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.361ca564.png,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
Chelsea,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.cff3d9bb.png,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
Newcastle Utd,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.b2b47a98.png,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
Manchester Utd,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.19538871.png,https://fbref.com/en/squads/19538871/Manchester-United-Stats
West Ham,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.7c21e445.png,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats
Crystal Palace,https://cdn.ssref.net/req/202409101/tlogo/fb/mini.47c64c55.png,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
